mixed,cat,date,num
,5S31,2013-01-01,
,5S31,2013-02-04,
,5S31,2013-02-03,
,5S31,2013-02-19,
,5S31,2013-01-05,
,1V71,2013-02-02,59.17969
,1V71,2013-01-02,55.41992
,1V71,2013-01-21,55.41992
,1V71,2013-01-18,51.23291
,1S51,2013-02-24,57.2876
,1S51,2013-01-28,57.2876
,XM53,2013-02-03,67.68956
,XM53,2013-02-12,67.7094
,YS31,2013-01-17,82.2253044
,YS31,2013-02-20,82.21767452
,5S31,2013-01-05,
,5S31,2013-01-15,
,5S11,2013-01-07,
99.98297256,TS33,2013-01-20,100
93956,TS33,2013-01-14,100.00159
,CU11,2013-02-08,
,CU11,2013-02-19,
,4U73,2013-01-13,100.00008
,8C56,2013-01-25,99.98779
,8C56,2013-01-25,99.98779
,8C56,2013-01-23,0
,8C56,2013-01-30,99.9878
,2C12,2013-03-01,0
,2C12,2013-02-20,0
,2C12,2013-01-18,0
,2C12,2013-01-11,0
,2C12,2013-02-23,0
,LS21,2013-02-18,
,LS21,2013-02-18,
,LS21,2013-02-13,
,LS21,2013-02-02,
,LS21,2013-02-13,
,LS21,2013-01-10,
,LS21,2013-01-14,
,5T31,2013-03-01,
,5A71,2013-01-16,
,5A71,2013-01-15,
,5S31,2013-01-13,
,5S31,2013-01-24,
,5S31,2013-01-15,
,5D12,2013-01-19,
,5D12,2013-02-01,
,5D12,2013-02-25,
,5D12,2013-01-22,
,5D12,2013-01-18,
,5D12,2013-02-03,
,5D12,2013-02-15,
,CU31,2013-02-28,
,5T31,2013-01-26,
,5T31,2013-02-24,
,5T31,2013-02-11,
,5T31,2013-01-26,
,5T31,2013-01-07,
,5T31,2013-01-23,
,5T31,2013-01-31,
,3M21,2013-02-28,
,3M21,2013-01-07,
,3M21,2013-02-15,
,3M21,2013-01-03,
,3M21,2013-02-10,
,8G53,2013-01-12,
,8G53,2013-02-01,
,8G53,2013-01-29,
,3M21,2013-02-14,
,3M21,2013-02-24,
,3M21,2013-01-23,
,3M21,2013-01-27,
,3M21,2013-02-28,
,3M21,2013-01-13,
,3M21,2013-02-11,
,3M21,2013-01-01,
,XS52,2013-01-11,75.21368
,5S31,2013-02-02,
,5S31,2013-01-25,
,5S31,2013-01-20,
,5S31,2013-01-03,
,5S31,2013-02-21,
,HT33,2013-01-08,100.00313
,HT33,2013-01-02,100.0016
,HT33,2013-01-30,100.00159
100,7.00E+01,2013-02-26,100
,CU31,2013-01-14,
,CU31,2013-02-12,
,CU31,2013-02-23,
,CU31,2013-02-27,
,CU31,2013-02-23,
,CU31,2013-01-15,
,CU31,2013-02-09,
,2.00E+51,2013-02-28,0
,2R11,2013-01-24,100
,2.00E+72,2013-02-04,44.53668793
,2.00E+72,2013-02-09,44.54212273
,2.00E+72,2013-02-27,44.54889497
,3M41,2013-02-14,
,3M41,2013-01-29,
,3M41,2013-02-16,
,3M41,2013-02-10,
,3M41,2013-02-21,
,3M41,2013-02-10,
,3M41,2013-02-01,
,3M41,2013-01-04,
,HT33,2013-01-30,100.0016
,HT33,2013-01-03,100.00159
,HT33,2013-02-11,100.0016
,5S11,2013-01-08,
,HT30,2013-01-22,100
,CU31,2013-01-06,
,CU31,2013-02-01,
